CATID
100162
100175
100192
105420
105447
105519
105573
105597
105600
105738
105962
106016
106042
106047
106049
106065
106331
106343
106376
106389
106507
106549
106616
106634
106638
106717
106810
106839
106908
107135
107137
107214
107259
107395
107454
107503
107509
107528
107594
107799
107824
107826
136232
136238
136240
136263
136308
136594
136602
136605
136616
136624
136626
136672
136688
136799
136841
136842
136847
136856
136866
136871
136880
136881
136894
136917
136918
136966
136980
137037
137071
137155
137328
137350
137455
137789
137809
137838
137841
137847
138047
138065
138066
138094
138132
138161
138291
138381
139123
143148
143227
143287
143291
143388
143446
143499
143547
143605
143735
143736
143746
143750
143814
143918
144051
144073
144127
144176
144178
144197
144236
144239
144243
144320
144327
144335
144338
144402
144465
144480
144491
144497
144498
144640
144682
144690
144846
145073
145267
145462
14552
14555
145583
145729
14697
14753
14812
15165
15218
15220
15481
15847
15898
16022
16026
16242
16294
16310
16317
16382
16392
16426
16429
16430
16445
16487
16525
16526
16828
16863
16920
16926
16948
17273
17314
17390
176868
176934
176955
176969
176991
177010
177046
177081
177100
177143
177232
177297
177303
177326
177354
177481
177518
177969
178149
178190
178197
178210
178290
178300
178481
178578
178580
178585
178865
179566
179584
179588
179665
183932
184042
184046
184122
184202
184230
184234
184237
184268
184281
184283
184354
184366
184368
184370
184415
184648
184689
184718
184834
185085
185190
185224
185252
185282
185291
185298
185365
185376
185510
185532
185557
185567
185569
185622
185795
185863
185914
186012
186380
186406
186467
186470
186573
186717
186742
186803
186833
186861
197419
197555
197843
197866
198343
198503
198591
198631
198771
198817
202309
202354
202360
202373
202398
202399
202443
202464
202480
202531
202636
202673
202745
203037
203114
203140
203148
203609
203684
203729
203833
203998
204093
204096
204490
204799
204832
204836
204868
204876
204877
204906
204983
205020
205085
205086
205089
205097
205151
205161
205166
205168
205208
205211
208520
208589
208612
208652
208781
208876
208892
209181
209185
209279
209319
209414
209664
209680
209697
209698
209701
209708
209743
209807
210060
210070
210228
210375
210467
210567
210611
210660
210781
210808
210909
214182
214184
214211
214245
214250
214295
214363
214462
214860
214895
215053
215289
215292
215335
215579
215698
216111
216143
